date,tip_import,iso,pais,pais_lat,pais_lng,distr_code,distr_name,cty_ref,cty_lat,cty_lng,titulo,chap,fob,flete,insurance,cif,salvaguardia,salvaguardia_espec,fodinfa,ice_advalorem,ice_espec,iva,advalorem,advalorem_espec,duties
2022-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833, Productos químicos orgánicos,29,44319.0,0.0,56.66,44375.66,0.0,0.0,248.18,0.0,0.0,5986.18,0.0,0.0,6234.360000000001
2022-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,1200.0,250.0,14.5,1464.5,0.0,0.0,7.32,0.0,0.0,176.62,0.0,0.0,183.94
2022-01,IMP.GRAL.,AL,Albania,41.153332,20.168331,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,781.039,133.987,7.8,922.826,0.0,0.0,4.619999999999999,0.0,0.0,125.49000000000001,118.32,0.0,248.43
2022-01,IMP.GRAL.,AL,Albania,41.153332,20.168331,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Manufacturas de cuero; artículos de talabartería o guarnicionería; artículos de viaje, bolsos de mano (carteras) y continentes similares; manufacturas de tripa",42,348.11,27.67,3.49,379.27,0.0,0.0,1.76,0.0,0.0,54.17,97.38,0.0,153.31
2022-01,IMP.GRAL.,AL,Albania,41.153332,20.168331,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios",87,1243.62,100.19,12.63,1356.44,0.0,0.0,6.38,0.0,0.0,153.83,0.0,0.0,160.21
2022-01,IMP.GRAL.,AL,Albania,41.153332,20.168331,055,Quito,Quito,-0.2186,-78.5097," Calzado, polainas y artículos análogos; partes de estos artículos",64,59.085,0.0,0.026,59.111,0.0,0.0,0.36,0.0,0.0,10.76,6.06,12.0,29.18
2022-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Herramientas y útiles, artículos de cuchillería y cubiertos de mesa, de metal común; partes de estos artículos, de metal común",82,12130.46,0.0,42.868,12173.328,0.0,0.0,64.39,0.0,0.0,1552.81,0.0,0.0,1617.2
2022-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Madera, carbón vegetal y manufacturas de madera",44,789.448,818.016,16.072,1623.536,0.0,0.0,8.12,0.0,0.0,200.64,40.28,0.0,249.04
2022-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Manufacturas de fundición, hierro o acero",73,6395.822,222.56099999999998,4.2860000000000005,6622.669,0.0,0.0,33.29,0.0,0.0,901.03,818.03,0.0,1752.3500000000001
2022-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,123.351,127.815,2.511,253.677,0.0,0.0,1.27,0.0,0.0,33.61,25.17,0.0,60.050000000000004
