date,tip_import,iso,pais,pais_lat,pais_lng,distr_code,distr_name,cty_ref,cty_lat,cty_lng,titulo,chap,fob,flete,insurance,cif,salvaguardia,salvaguardia_espec,fodinfa,ice_advalorem,ice_espec,iva,advalorem,advalorem_espec,duties
2013-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Manufacturas de fundición, hierro o acero",73,17430.175,698.309,45.522999999999996,18174.007,0.0,0.0,90.46,0.0,0.0,2278.1,790.32,0.0,3158.88
2013-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,8621.24,395.12,20.450000000000003,9036.81,0.0,0.0,49.53,0.0,0.0,1194.85,0.0,0.0,1244.38
2013-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,20637.931,0.0,65.288,20703.219,0.0,0.0,109.01,0.0,0.0,2760.88,1090.38,0.0,3960.2700000000004
2013-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,055,Quito,Quito,-0.2186,-78.5097," Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos",90,502.98,39.06,5.42,547.46,0.0,0.0,2.73,0.0,0.0,66.02,0.0,0.0,68.75
2013-01,IMP.GRAL.,AL,Albania,41.153332,20.168331,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833, Extractos curtientes o tintóreos; taninos y sus derivados; pigmentos y demás materias colorantes; pinturas y barnices; mástiques; tintas,32,17389.28,0.0,26.21,17415.49,0.0,0.0,87.48,0.0,0.0,2110.14,0.0,0.0,2197.62
2013-01,IMP.GRAL.,AL,Albania,41.153332,20.168331,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833, Productos químicos orgánicos,29,6695.52,0.0,7.71,6703.23,0.0,0.0,34.18,0.0,0.0,865.67,341.89,0.0,1241.7399999999998
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Aceites esenciales y resinoides; preparaciones de perfumería, de tocador o de cosmética",33,2401.72,615.9,30.156,3047.776,0.0,0.0,15.18,0.0,0.0,440.61,609.53,0.0,1065.32
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Caucho y sus manufacturas,40,550.5,14.931,1.882,567.313,0.0,0.0,2.83,0.0,0.0,75.15,56.16,0.0,134.14
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos",90,32447.02,110.45,128.334,32685.804000000004,0.0,0.0,170.98000000000002,0.0,0.0,4131.8,42.8,0.0,4345.58
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Juguetes, juegos y artículos para recreo o deporte; sus partes y accesorios",95,1638.3,399.15,4.08,2041.53,0.0,0.0,10.19,0.0,0.0,257.96,97.98,0.0,366.13
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Manufacturas diversas,96,6743.499,1410.43,6.607,8160.536,0.0,0.0,40.800000000000004,0.0,0.0,1277.93,2448.1499999999996,0.0,3766.8799999999997
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Muebles; mobiliario medicoquirúrgico; artículos de cama y similares; luminarias y aparatos de alumbrado no expresados ni comprendidos en otra parte; anuncios, letreros y placas indicadoras, luminosos y artículos similares; construcciones prefabricadas",94,498.87,147.0,6.46,652.33,0.0,0.0,3.25,0.0,0.0,90.4,97.84,0.0,191.49
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,1287.42,45.16,1.81,1334.39,0.0,0.0,6.67,0.0,0.0,160.92,0.0,0.0,167.58999999999997
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Productos editoriales, de la prensa y de las demás industrias gráficas; textos manuscritos o mecanografiados y planos",49,21.95,4.4,0.26,26.61,0.0,0.0,0.13,0.0,0.0,3.2,0.0,0.0,3.33
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Productos fotográficos o cinematográficos,37,3500.0,805.0,43.05,4348.05,0.0,0.0,21.74,0.0,0.0,576.55,434.8,0.0,1033.09
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,21921.434,698.6089999999999,93.77000000000001,22713.813,0.0,0.0,117.18,0.0,0.0,2838.4,78.96000000000001,0.0,3034.54
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833, Aluminio y sus manufacturas,76,630255.6,0.0,698.54,630954.14,0.0,0.0,3315.7,0.0,0.0,79974.7,0.0,0.0,83290.4
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Bebidas, líquidos alcohólicos y vinagre",22,49280.0,1400.0,167.24,50847.24,0.0,0.0,254.22,57395.1,43908.48,21339.64,81.34,25344.0,148322.78
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833, Caucho y sus manufacturas,40,8770.6,0.0,1.25,8771.85,0.0,0.0,45.46,0.0,0.0,1097.59,7.11,0.0,1150.1599999999999
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833, Extractos curtientes o tintóreos; taninos y sus derivados; pigmentos y demás materias colorantes; pinturas y barnices; mástiques; tintas,32,23602.0,3078.6,103.9,26784.5,0.0,0.0,133.88,0.0,0.0,3230.1600000000003,0.0,0.0,3364.0400000000004
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Fundición, hierro y acero",72,8.0,0.0,0.02,8.02,0.0,0.0,0.04,0.0,0.0,1.25,1.74,0.0,3.0300000000000002
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Hortalizas, plantas, raíces y tubérculos alimenticios",07,49811.77,0.0,116.938,49928.708,0.0,0.0,281.07,0.0,0.0,0.0,8432.17,0.0,8713.24
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Jabón, agentes de superficie orgánicos, preparaciones para lavar, preparaciones lubricantes, ceras artificiales, ceras preparadas, productos de limpieza, velas y artículos similares, pastas para modelar, «ceras para odontología» y preparaciones para odontología a base de y eso fraguable",34,95850.78,2121.1,464.73,98436.61,0.0,0.0,509.15999999999997,0.0,0.0,12641.810000000001,3002.21,0.0,16153.18
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Manufacturas de cuero; artículos de talabartería o guarnicionería; artículos de viaje, bolsos de mano (carteras) y continentes similares; manufacturas de tripa",42,180.0,10.701,3.604,194.305,0.0,0.0,0.97,0.0,0.0,26.92,29.14,0.0,57.03
2013-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,1184.98,103.20899999999999,7.648,1295.837,0.0,0.0,6.43,0.0,0.0,176.75,171.04,0.0,354.21999999999997
