date,tip_import,iso,pais,pais_lat,pais_lng,distr_code,distr_name,cty_ref,cty_lat,cty_lng,titulo,chap,fob,flete,insurance,cif,salvaguardia,salvaguardia_espec,fodinfa,ice_advalorem,ice_espec,iva,advalorem,advalorem_espec,duties
2018-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,695.25,14.3,6.96,716.51,0.0,0.0,3.57,0.0,0.0,88.43,16.83,0.0,108.83
2018-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,1109.05,166.74,22.56,1298.35,0.0,0.0,6.5,0.0,0.0,156.67,0.0,0.0,163.17
2018-01,IMP.GRAL.,AL,Albania,41.153332,20.168331,091,Cuenca,Cuenca,-2.8974,-79.0045," Prendas y complementos (accesorios), de vestir, excepto los de punto",62,2009.81,43.2,10.0,2063.01,0.0,0.0,10.3,0.0,0.0,277.8,206.33,35.24,529.6700000000001
2018-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Aceites esenciales y resinoides; preparaciones de perfumería, de tocador o de cosmética",33,5059.16,1446.94,1.11,6507.21,0.0,0.0,42.19,0.0,0.0,1221.17,1687.66,0.0,2951.0200000000004
2018-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Caucho y sus manufacturas,40,121.88,75.47,0.69,198.04,0.0,0.0,0.99,0.0,0.0,24.45,4.46,0.0,29.9
2018-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos",90,91491.436,8968.508999999998,980.8789999999999,101440.82400000001,0.0,0.0,508.13,0.0,0.0,12314.46,243.96,0.0,13066.55
2018-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Manufacturas de fundición, hierro o acero",73,2075.651,0.0,14.025,2089.676,0.0,0.0,10.87,0.0,0.0,262.28,0.0,0.0,273.15
2018-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,13996.87,1290.857,140.927,15428.654,0.0,0.0,77.15,0.0,0.0,1861.14,0.0,0.0,1938.2900000000002
2018-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Plástico y sus manufacturas,39,2682.96,252.35,26.900000000000002,2962.21,0.0,0.0,14.81,0.0,0.0,407.47999999999996,418.51,0.0,840.8
2018-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Productos editoriales, de la prensa y de las demás industrias gráficas; textos manuscritos o mecanografiados y planos",49,43.129,1.931,0.225,45.285,0.0,0.0,0.23,0.0,0.0,7.14,13.58,0.0,20.95
