date,tip_import,iso,pais,pais_lat,pais_lng,distr_code,distr_name,cty_ref,cty_lat,cty_lng,titulo,chap,fob,flete,insurance,cif,salvaguardia,salvaguardia_espec,fodinfa,ice_advalorem,ice_espec,iva,advalorem,advalorem_espec,duties
2020-01,IMP.GRAL.,AD,Andorra,42.546245,1.601554,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,440.619,0.0,5.841,446.46,0.0,0.0,3.16,0.0,0.0,79.9,31.56,0.0,114.62
2020-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,444.31,12.431,0.342,457.083,0.0,0.0,2.29,0.0,0.0,59.24,34.28,0.0,95.81
2020-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Productos farmacéuticos,30,95627.0,8978.404,89.052,104694.456,0.0,0.0,523.47,0.0,0.0,0.0,5234.72,0.0,5758.1900000000005
2020-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos",90,136.109,4.145,0.429,140.683,0.0,0.0,0.7,0.0,0.0,17.81,7.03,0.0,25.54
2020-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,2506.144,76.328,7.901,2590.373,0.0,0.0,12.97,0.0,0.0,341.52,242.71,0.0,597.1999999999999
2020-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,1667.806,50.796,5.258,1723.86,0.0,0.0,8.62,0.0,0.0,208.39,4.06,0.0,221.07
2020-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios",87,7309.487,222.62400000000002,23.039,7555.15,0.0,0.0,37.769999999999996,0.0,0.0,1008.5899999999999,812.19,0.0,1858.5500000000002
2020-01,IMP.GRAL.,AL,Albania,41.153332,20.168331,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,242.74,14.229,1.741,258.71,0.0,0.0,1.29,0.0,0.0,35.38,34.89,0.0,71.56
2020-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Caucho y sus manufacturas,40,59.217,5.745,0.16,65.122,0.0,0.0,0.33,0.0,0.0,7.85,0.0,0.0,8.18
2020-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos",90,13220.0,0.0,132.2,13352.2,0.0,0.0,70.38,0.0,0.0,1697.71,0.0,0.0,1768.0900000000001
2020-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Manufacturas de fundición, hierro o acero",73,7455.144,189.353,6.011,7650.508000000001,0.0,0.0,38.25,0.0,0.0,1152.17,1912.63,0.0,3103.05
2020-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,13116.78,2092.5,152.09,15361.37,0.0,0.0,76.82,0.0,0.0,1852.57,0.0,0.0,1929.3899999999999
2020-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Plástico y sus manufacturas,39,699.998,0.0,10.203,710.201,0.0,0.0,3.8,0.0,0.0,109.78,151.84,0.0,265.42
2020-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Productos diversos de las industrias químicas,38,5821.2,1831.4,21.66,7674.26,0.0,0.0,38.37,0.0,0.0,925.52,0.0,0.0,963.89
2020-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Productos químicos inorgánicos; compuestos inorgánicos u orgánicos de metal precioso, de elementos radiactivos, de metales de las tierras raras o de isótopos",28,9982.25,0.0,108.84,10091.09,0.0,0.0,59.46,0.0,0.0,1434.49,0.0,0.0,1493.95
2020-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,270.023,20.704,0.31599999999999995,291.043,0.0,0.0,1.46,0.0,0.0,35.379999999999995,2.35,0.0,39.19
2020-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios",87,70.307,13.993,0.20500000000000002,84.505,0.0,0.0,0.42,0.0,0.0,10.55,3.0,0.0,13.969999999999999
