date,tip_import,iso,pais,pais_lat,pais_lng,distr_code,distr_name,cty_ref,cty_lat,cty_lng,titulo,chap,fob,flete,insurance,cif,salvaguardia,salvaguardia_espec,fodinfa,ice_advalorem,ice_espec,iva,advalorem,advalorem_espec,duties
2015-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833, Cobre y sus manufacturas,74,116.003,0.0,0.559,116.562,0.0,0.0,0.7,0.0,0.0,19.32,20.91,0.0,40.93
2015-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Instrumentos y aparatos de óptica, fotografía o cinematografía, de medida, control o precisión; instrumentos y aparatos medicoquirúrgicos; partes y accesorios de estos instrumentos o aparatos",90,200.003,0.0,0.964,200.967,0.0,0.0,1.2,0.0,0.0,31.87,24.03,0.0,57.1
2015-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Manufacturas de fundición, hierro o acero",73,908.88,55.0,2.41,966.29,0.0,0.0,4.83,0.0,0.0,145.52,241.57,0.0,391.92
2015-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Máquinas, aparatos y material eléctrico, y sus partes; aparatos de grabación o reproducción de sonido, aparatos de grabación o reproducción de imagen y sonido en televisión, y las partes y accesorios de estos aparatos",85,2086.102,0.0,10.059000000000001,2096.161,0.0,0.0,12.53,0.0,0.0,302.95,4.66,0.0,320.14
2015-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,57945.81999999999,3455.75,155.48000000000002,61557.05,0.0,0.0,308.63,0.0,0.0,7443.92,0.0,0.0,7752.55
2015-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Vehículos automóviles, tractores, velocípedos y demás vehículos terrestres; sus partes y accesorios",87,6248.341,0.0,30.215,6278.556,0.0,0.0,37.52,0.0,0.0,953.0799999999999,395.08000000000004,0.0,1385.68
2015-01,IMP.GRAL.,AE,Emiratos Arabes Unidos,23.424076,53.847818,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Manufacturas de piedra, yeso fraguable, cemento, amianto (asbesto), mica o materias análogas",68,35722.68,7275.0,429.97,43427.65,0.0,0.0,217.14,0.0,0.0,6019.08,6514.15,0.0,12750.369999999999
2015-01,IMP.GRAL.,AN,Antillas Holandesas,12.226079,-69.060087,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,3505.209,0.0,4.666,3509.875,0.0,0.0,17.91,0.0,0.0,496.45,537.29,0.0,1051.65
2015-01,IMP.GRAL.,AN,Antillas Holandesas,12.226079,-69.060087,028,Guayaquil-Maritimo,Guayaquil,-2.1833,-79.8833," Reactores nucleares, calderas, máquinas, aparatos y artefactos mecánicos; partes de estas máquinas o aparatos",84,13388.79,0.0,38.442,13427.232,0.0,0.0,73.52,0.0,0.0,2037.98,2205.61,0.0,4317.110000000001
2015-01,IMP.GRAL.,AN,Antillas Holandesas,12.226079,-69.060087,055,Quito,Quito,-0.2186,-78.5097," Jabón, agentes de superficie orgánicos, preparaciones para lavar, preparaciones lubricantes, ceras artificiales, ceras preparadas, productos de limpieza, velas y artículos similares, pastas para modelar, «ceras para odontología» y preparaciones para odontología a base de y eso fraguable",34,3474.356,0.0,0.367,3474.723,0.0,0.0,17.39,0.0,0.0,440.24,173.87,0.0,631.5
2015-01,IMP.GRAL.,AR,Argentina,-38.416097,-63.616672,019,Guayaquil-Aereo,Guayaquil,-2.1833,-79.8833," Aceites esenciales y resinoides; preparaciones de perfumería, de tocador o de cosmética",33,20501.18,1730.1840000000002,140.178,22371.542,0.0,0.0,111.87,0.0,0.0,2698.03,0.0,0.0,2809.9
